100	No Yes	U	2
1000	MemoryID	U	42
1001	MILBus Ext/Int	U	2
1002	MILBus Nom/Red	U	3
1003	MILBus RT-Addr	U	17
1004	MILBus R/T Bit	U	2
101	RF Flag	U	2
102	Bit Lock	U	2
105	TC Virtual Channel	U	2
106	No RF Lock	U	2
107	No Bit Lock	U	2
108	Lockout	U	2
109	Wait	U	2
110	Retransmit	U	2
1100	dummy calibration	U	2
1101	DisableEnable Status	U	2
1102	activePM	U	2
1103	NOK_OK	U	2
1104	PM Boot Speed1	U	2
1105	OFF_ON	U	2
1106	DISCARD_ENABLE	U	2
1107	LastMap	U	5
1108	ExpectedParity	U	2
1109	LoadedImage	U	2
1110	TestConnectorActive	U	2
1111	Decoder_Channel	U	4
1112	ErrCnt	U	8
1113	Data_Notdetected_detected	U	2
112	Grouping Flags	U	2
1130	NoInter_Inter	U	2
118	FRAME LIMIT CRITERIA	U	2
119	Version ID	U	2
1205	ON_OFF Status	U	2
121	TM Virtual Channel	U	6
123	Absent Present	U	2
124	Synchronisation	U	2
125	Packet Order	U	4
127	Segment Length 	U	4
128	Word Type	U	2
129	Valid Invalid 2 Bit	U	2
134	COP ID	U	2
135	Valid Invalid 3 Bit	U	2
139	Zero One	U	2
141	Two Bit Counter	U	4
143	One Bit Counter	U	2
149	IMU Selection	U	16
1500	DisableEnable Status	U	2
1501	OpenClose Status	U	2
1502	deselectedSelected Status	U	2
1503	ArmDisarm Status	U	2
1504	PM Selection	U	2
1506	PM Boot Speed2	U	2
1508	DiscardReceive Status	U	2
1509	CPDU_LstP_Status	U	4
1510	NotAbort_Abort Status	U	2
1511	NoError_Error Status	U	2
1512	CPDU_done Status	U	2
1513	Csel_Busy Status	U	2
1514	ok_fail Status	U	2
1515	CDMU_CSEL Mode	U	4
1516	stowed_deployed	U	2
1517	Shunt Status	U	2
1518	TIMEOUT	U	2
1519	TC Decoder Authentication	U	8
1520	Frametype	U	4
1521	Frame_illegal_Reason	U	8
1522	TC Decoder Frame Analysis	U	8
1523	TC Decoder Stat	U	2
1524	Alarm_Noalarm Status	U	2
1525	Success_Failure	U	2
1526	Warm_Cold Start	U	2
